,"Dataset Label","Endline household ID","Household ID Tayssir Admin database","Student ID Tayssir Admin database","Id of School Unit","Id of School","school unit type","group: 0=control, 1=unconditionnal, 2=teachers, 3=inspectors, 4=machines","beneficiary type","region","province names","Birth date student","gender student","relationship with beneficiary M=Mother, P=Father, T=guardian","School year of registration","Transfer amount for month 9 school year 2008","Amount eligible for month 9 school year 2008","Transfer amount for month 10 school year 2008","Amount eligible for month 10 school year 2008","Transfer amount for month 11 school year 2008","Amount eligible for month 11 school year 2008","Transfer amount for month 12 school year 2008","Amount eligible for month 12 school year 2008","Transfer amount for month 1 school year 2008","Amount eligible for month 1 school year 2008","Transfer amount for month 2 school year 2008","Amount eligible for month 2 school year 2008","Transfer amount for month 3 school year 2008","Amount eligible for month 3 school year 2008","Transfer amount for month 4 school year 2008","Amount eligible for month 4 school year 2008","Transfer amount for month 5 school year 2008","Amount eligible for month 5 school year 2008","Transfer amount for month 6 school year 2008","Amount eligible for month 6 school year 2008","Transfer amount for month 9 school year 2009","Amount eligible for month 9 school year 2009","Transfer amount for month 10 school year 2009","Amount eligible for month 10 school year 2009","Transfer amount for month 11 school year 2009","Amount eligible for month 11 school year 2009","Transfer amount for month 12 school year 2009","Amount eligible for month 12 school year 2009","Transfer amount for month 1 school year 2009","Amount eligible for month 1 school year 2009","Transfer amount for month 2 school year 2009","Amount eligible for month 2 school year 2009","Transfer amount for month 3 school year 2009","Amount eligible for month 3 school year 2009","Transfer amount for month 4 school year 2009","Amount eligible for month 4 school year 2009","Transfer amount for month 5 school year 2009","Amount eligible for month 5 school year 2009","Transfer amount for month 6 school year 2009","Amount eligible for month 6 school year 2009","Absences reported for month 11 school year 2008","Absences reported for month 12 school year 2008","Absences reported for month 1 school year 2008","Absences reported for month 2 school year 2008","Absences reported for month 3 school year 2008","Absences reported for month 4 school year 2008","Absences reported for month 5 school year 2008","Absences reported for month 6 school year 2008","Absences reported for month 9 school year 2009","Absences reported for month 10 school year 2009","Absences reported for month 11 school year 2009","Absences reported for month 12 school year 2009","Absences reported for month 1 school year 2009","Absences reported for month 2 school year 2009","Absences reported for month 3 school year 2009","Absences reported for month 4 school year 2009","Absences reported for month 5 school year 2009","Absences reported for month 6 school year 2009","Amount Transfer 1 (in MAD)","Transfer 1 payed to benef (Y=yes, N=No)","Amount Transfer 2 (in MAD)","Transfer 2 payed to benef (Y=yes, N=No)","Amount Transfer 3 (in MAD)","Transfer 3 payed to benef (Y=yes, N=No)","Amount Transfer 4 (in MAD)","Transfer 4 payed to benef (Y=yes, N=No)","Residual amount for months 9-10 2009 (in MAD)","Residual transfert payed for months 9-10 2009 (Y=yes, N=No)","Amount Transfer 5 (in MAD)","Transfer 5 payed to benef (Y=yes, N=No)","Amount Transfer 6 (in MAD)","Transfer 6 payed to benef (Y=yes, N=No)","Amount Transfer 7 (in MAD)","Transfer 7 payed to benef (Y=yes, N=No)","Amount Transfer 8 (in MAD)","Transfer 8 payed to benef (Y=yes, N=No)","Residual amount for months 9-2 2008 (in MAD)","Residual transfert payed for months 9-2 2008 (Y=yes, N=No)","Residual amount for months 9-10 2009 (in MAD)","Residual transfert payed for months 9-10 2009 (Y=yes, N=No)","Residual amount for months 9-4 2009 (in MAD)","Residual transfert payed for months 9-4 2009 (Y=yes, N=No)","Residual amount for 2008 (in MAD)","Residual transfert payed for 2008 (Y=yes, N=No)","Residual amount for 2009 (in MAD)","Residual transfert payed for 2009 (Y=yes, N=No)"
,"Imputed?","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
,"Unit of Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Question Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Valid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","text","text","text","text","text","text","","text","text","text","text","text","text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","text","","text","","text","","text","","text","","text","","text","","text","","text","","text","","text","","text","","text","","text"
,"Min","","","","","","","1","","","","","","","2008","60","60","60","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","","0","","0","","0","","40","","0","","0","","0","","0","","60","","40","","60","","80","","40",""
,"Max","","","","","","","4","","","","","","","2009","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","30","31","40","42","150","150","150","150","54","54","50","50","60","60","48","48","50","52","2840","","5680","","5680","","1600","","600","","1600","","1600","","1600","","1600","","2160","","1320","","200","","2400","","3360",""
